from,to,km
Bhubaneswar,Cuttack,26
Vijayawada,Guntur,36
Delhi,Gurugram,42
Faridabad,Gurugram,43
Chandigarh,Ambala,45
Delhi,Faridabad,49
Dehradun,Haridwar,55
Agra,Mathura,57
Ludhiana,Jalandhar,62
Patna,Muzaffarpur,72
Aligarh,Mathura,77
Amritsar,Jalandhar,82
Kochi,Thrissur,85
Agra,Aligarh,90
Rajkot,Jamnagar,91
Bareilly,Moradabad,94
Hubli,Belagavi,94
Lucknow,Kanpur,95
Meerut,Faridabad,95
Guwahati,Shillong,98
Chandigarh,Ludhiana,101
Patna,Gaya,103
Delhi,Meerut,104
Meerut,Gurugram,107
Ludhiana,Ambala,108
Tirupati,Vellore,108
Chandigarh,Shimla,109
Kolhapur,Belagavi,110
Ahmedabad,Vadodara,110
Belagavi,Panaji,112
Coimbatore,Thrissur,115
Aligarh,Faridabad,116
Raipur,Bilaspur,116
Mathura,Faridabad,119
Agra,Gwalior,120
Varanasi,Prayagraj,122
Kozhikode,Thrissur,122
Ranchi,Jamshedpur,126
Jaipur,Ajmer,131
Madurai,Tiruchirappalli,131
Tirupati,Chennai,133
Meerut,Moradabad,135
Aligarh,Moradabad,136
Chennai,Vellore,137
Meerut,Haridwar,139
Ambala,Shimla,139
Salem,Tiruchirappalli,140
Mathura,Gurugram,141
Amritsar,Ludhiana,141
Bengaluru,Mysuru,142
Aligarh,Gurugram,144
Jamshedpur,Dhanbad,145
Meerut,Aligarh,147
Chandigarh,Jalandhar,148
Ranchi,Dhanbad,150
Surat,Vadodara,150
Hyderabad,Warangal,151
Hubli,Davangere,151
Moradabad,Haridwar,154
Tirunelveli,Thiruvananthapuram,154
Madurai,Tirunelveli,160
Mumbai,Pune,161
Ahmedabad,Bhavnagar,164
Chandigarh,Dehradun,168
Coimbatore,Salem,168
Jalandhar,Ambala,170
Delhi,Aligarh,171
Agra,Faridabad,173
Mathura,Gwalior,173
Gaya,Muzaffarpur,173
Rajkot,Bhavnagar,174
Meerut,Dehradun,176
Ambala,Dehradun,179
Ambala,Haridwar,179
Hubli,Panaji,179
Nashik,Aurangabad,180
Delhi,Mathura,184
Bengaluru,Salem,185
Mumbai,Nashik,186
Moradabad,Faridabad,187
Coimbatore,Kozhikode,190
Coimbatore,Kochi,191
Delhi,Moradabad,192
Bhopal,Indore,192
Ranchi,Rourkela,194
Agra,Gurugram,195
Bareilly,Aligarh,199
Kochi,Kozhikode,199
Kolhapur,Hubli,200
Lucknow,Prayagraj,202
Kota,Ajmer,202
Mysuru,Coimbatore,202
Moradabad,Dehradun,203
Jamshedpur,Rourkela,203
Jodhpur,Ajmer,205
Kolhapur,Panaji,205
Kanpur,Prayagraj,208
Kochi,Thiruvananthapuram,210
Coimbatore,Madurai,211
Bengaluru,Vellore,212
Mysuru,Kozhikode,212
Amritsar,Jammu,215
Pune,Nashik,215
Vadodara,Bhavnagar,215
Coimbatore,Tiruchirappalli,216
Bareilly,Mathura,218
Ludhiana,Shimla,219
Gaya,Dhanbad,219
Ahmedabad,Rajkot,221
Jalandhar,Jammu,222
Delhi,Haridwar,222
Chandigarh,Haridwar,222
Agra,Bareilly,223
Shimla,Dehradun,223
Gaya,Ranchi,226
Chandigarh,Amritsar,228
Salem,Vellore,228
Mathura,Jaipur,229
Pune,Kolhapur,230
Jodhpur,Bikaner,233
Pune,Aurangabad,233
